,제목,업로더,조회수,게시일
29,STAYC(스테이씨) - STEREOTYPE(색안경) @인기가요 inkigayo 20211003,스브스케이팝 / SBS KPOP,"조회수 1,059,604회",2021. 10. 3.
30,STAYC(스테이씨) 'ASAP' Dance Practice,STAYC,"조회수 5,072,157회",2021. 4. 10.
31,"STAYC 스테이씨 "" I'LL BE THERE "" Lyrics (ColorCoded/ENG/HAN/ROM/가사)",Puno Autopop,"조회수 148,933회",2021. 9. 6.
32,STAYC(스테이씨) - 힘내!(Way to go) (Music Bank) | KBS WORLD TV 210108,KBS WORLD TV,"조회수 186,993회",2021. 1. 8.
33,STAYC(스테이씨) '색안경 (STEREOTYPE)' (교차편집 Stage Mix),idol studio,"조회수 1,209,972회",2021. 9. 15.
34,"스테이씨(STAYC), ‘색안경(STEREOTYPE) (Remixed by Prime Time)’ㅣ2021 SBS 가요대전(2021sbsgayo)ㅣSBS ENTER.",SBS Entertainment,"조회수 177,339회",2021. 12. 25.
35,"스테이씨(STAYC), 톡톡 튀는 ‘ASAP (Remixed by Prime Time)’ 무대ㅣ2021 SBS 가요대전(2021sbsgayo)ㅣSBS ENTER.",SBS Entertainment,"조회수 114,021회",2021. 12. 25.
36,STAYC J | Dua Lipa 'Don't Start Now' COVER,STAYC,"조회수 979,295회",2021. 7. 16.
37,[릴레이댄스] STAYC(스테이씨) - ASAP (4K),M2,"조회수 5,945,844회",2021. 4. 12.
38,[릴레이댄스 어게인] STAYC(스테이씨) - OOH-AHH하게(Like OOH-AHH) (Original song by. TWICE) (4K),M2,"조회수 1,823,614회",2021. 4. 24.
39,STAYC(스테이씨) - STEREOTYPE(색안경) @인기가요 inkigayo 20210919,스브스케이팝 / SBS KPOP,"조회수 469,434회",2021. 9. 19.
40,원더케이 수상하군! 호캉스를 꿈꾸는 STAYC에게 주어진 ㄴ상상도 못한 휴가ㄱ | 스테이케이션 EP.1 | STAYCATION | STAYC(스테이씨),1theK Originals - 원더케이 오리지널,"조회수 995,328회",2021. 4. 22.
41,"STAYC, THE SHOW CHOICE! [THE SHOW 210914]",The K-POP,"조회수 516,341회",2021. 9. 14.
42,"STAYC, SLOW DOWN (스테이씨, SLOW DOWN) [THE SHOW 210914]",The K-POP,"조회수 273,143회",2021. 9. 14.
43,[세븐틴/승관 도겸] 뿌교수 케이팝 2. asap- stacy(스테이씨),삼븐틴,"조회수 3,719회",2021. 8. 18.
44,SO WHAT - STAYC(스테이씨) [뮤직뱅크/Music Bank] | KBS 210507 방송,KBS Kpop,"조회수 182,753회",2021. 5. 7.
45,"STAYC, SO WHAT (스테이씨, SO WHAT) [THE SHOW 210413]",The K-POP,"조회수 588,286회",2021. 4. 13.
46,[4K] 2020년 K-POP 띵곡 커버한 STAYC(스테이씨) | BLACKPINK BTS SKZ NCT | Cover Dance Medley | COUNTDANCE|카운트댄스,1theK Originals - 원더케이 오리지널,"조회수 3,354,407회",2020. 11. 24.
47,STAYC | Doja Cat 'Kiss Me More' COVER,STAYC,"조회수 3,323,984회",2021. 6. 8.
48,STAYC(스테이씨) - STEREOTYPE(색안경) @인기가요 inkigayo 20210912,스브스케이팝 / SBS KPOP,"조회수 751,680회",2021. 9. 12.
49,STAYC스테이씨 'SO BAD' MV reaction,Differently Alike,"조회수 56,599회",2020. 12. 30.
50,STAYC(스테이씨) 🔥'SO BAD'🔥 MV Reaction,STAYC,"조회수 736,356회",2020. 11. 19.
51,스테이씨(STACY) 색안경(STEREOTYPE) 교차편집(Stage Mix),다나,조회수 150회,2021. 11. 28.
52,[FULL] 짱테이씨(STAYC)는 케이팝을 찢어✨스테이씨✨ 수민·시은·윤·재이🥰 / 정오의 희망곡 김신영입니다 / MBC 210916 방송,MBC Radio봉춘라디오,"조회수 16,766회",실시간 스트리밍 시작일: 2021. 9. 16.
53,"[쇼! 음악중심] 스테이씨 - 쏘 왓 (STAYC - SO WHAT), MBC 210508 방송",MBCkpop,"조회수 101,014회",2021. 5. 8.
54,STAYC(스테이씨) [STEREOTYPE] Album UNBOXING,STAYC,"조회수 233,084회",2021. 9. 8.
55,[ENG/IDN] 슈.퍼.루.키. 스테이씨(STAYC) 흥망진창 뒤집고 간 현장⭐내 내 내 머리 머리🤔 내 머릿속이 STAYC (스테이씨)로 가득해💖 - 팩트iN스타,팩트iN스타 Fact iN Star,"조회수 335,231회",2020. 12. 11.
56,STAYC(스테이씨) 'ASAP' (교차편집 Stage Mix),idol studio,"조회수 1,368,120회",2021. 4. 15.
57,[ENG SUB] 안녕하세요 우리는 짱테이씨입니다. | 아이돌 인간극장 - 스테이씨편,KBS Kpop,"조회수 259,589회",최초 공개: 2021. 9. 11.
58,STAYC(스테이씨) - So bad / 2021 울산서머페스티벌,울산MBC_뮤직,"조회수 270,597회",2021. 9. 7.
59,STAYC(스테이씨) 'SO WHAT' Live Clip,STAYC,"조회수 748,359회",2021. 4. 27.
60,[교차편집] STAYC(스테이씨) - 색안경(STEREOTYPE) / Stage Mix,나옹,"조회수 134,455회",2021. 10. 9.
61,STAYC (스테이씨) SO WHAT (쏘 왓) 교차편집 (Stage Mix),SoulYeon솔연,"조회수 993,426회",2021. 5. 10.
62,*최초* 스테이씨 전원 폭풍 오열하게 만든 신인개발팀의 마지막 수업은? | 1theK 신인개발팀 | 1theK Hard Training Team,1theK Originals - 원더케이 오리지널,"조회수 729,111회",2020. 12. 10.
63,[ 스테이씨/ stacy ] 경력직 신입의 가소로운 표정,MY IDOL,조회수 976회,2021. 10. 21.
64,"[쇼! 음악중심] 스테이씨 - 색안경 (STAYC - STEREOTYPE), MBC 210925 방송",MBCkpop,"조회수 357,405회",2021. 9. 25.
65,(ENG SUB)[MusicBank Interview Cam] 스테이씨 (STAYC Interview)l @MusicBank KBS 210910,KBS Kpop,"조회수 191,441회",2021. 9. 10.
66,STAYC (스테이씨) - LIKE THIS 교차편집 (Stage Mix),고양이JIU,"조회수 369,750회",2020. 12. 1.
67,쿨룩 LIVE ▷ 스테이씨(STAYC) ‘색안경(STEREOTYPE)' /[Day6의 키스 더 라디오] l kbs 210910 방송,KBS CoolFM,"조회수 461,887회",2021. 9. 10.
68,색안경 (STEREOTYPE) - STAYC (스테이씨) [뮤직뱅크/Music Bank] | KBS 210917 방송,KBS Kpop,"조회수 229,202회",2021. 9. 17.
69,[4K] 스테이씨(STACY) - 색안경(STEREOTYPE) 교차편집 (stage mix),채율,조회수 72회,2021. 11. 6.
70,[4K] 색안경 부수고 퇴폐미 장착한 스테이씨의 느와르 퍼포먼스 | Doja Cat | Boss B*tch | STAYC | Choreography | STAGE BREAK,1theK Originals - 원더케이 오리지널,"조회수 1,129,094회",2021. 9. 30.
71,"(ENG sub) STAYC(스테이씨) - 색안경(STEREOTYPE), ASAP [World is One 2021 CONCERT - 화제의 무대 다시보기]",MBCkpop,"조회수 405,946회",2021. 11. 7.
72,"STAYC, STEREOTYPE (스테이씨, 색안경) [THE SHOW 210928]",The K-POP,"조회수 566,284회",2021. 9. 28.
73,스윗Logㅣ스테이씨 색안경 앨범깡ㅣSTACY,유나,조회수 78회,2021. 10. 23.
74,STAYC(스테이씨) - STEREOTYPE(색안경) (Music Bank) l KBS WORLD TV 210917,KBS WORLD TV,"조회수 223,488회",2021. 9. 17.
75,[FM/V] 스테이씨 STACY 사랑은 원래 이렇게 아픈 건가요,루비,"조회수 1,140회",2021. 4. 8.
76,쿨룩 LIVE ▷스테이씨(STAYC) ‘I'll BE THERE’ /[Day6의 키스 더 라디오] l kbs 210910 방송,KBS CoolFM,"조회수 88,851회",2021. 9. 10.
77,💕스테이씨{STACY}소개서와 매세지💕,💖스테이씨_팬계정 STACY💖,조회수 11회,2021. 11. 16.
78,STAYC(스테이씨)의 “사랑은 원래 이렇게 아픈 건가요(LOVE FOOL)” Band Live Ver.│누가 울 짱테이씨 아프게 했냐!! [it’s KPOP LIVE 잇츠라이브],it's Live,"조회수 422,787회",최초 공개: 2021. 4. 23.
79,스테이씨 asap stacy 꾹꾹이춤 챌린지,오징어,"조회수 1,426회",2021. 7. 22.
80,COMPLEX (COMPLEX),STAYC,"조회수 687,103회",2021. 9. 6.
81,STAYC 'COMPLEX' Lyrics (Color Coded Lyrics Eng/Rom/Han) (스테이씨 COMPLEX 가사),kyungwoo,"조회수 9,717회",2021. 9. 6.
82,STACY(스테이씨)-'색안경'(STEREOTYPE) 커버댄스 Dance Cover/독학/10년생,신성연 sungyeon,"조회수 8,739회",2021. 9. 11.
83,"[4K] [MIC in the SCENE] STAYC 스테이씨 - 색안경(STEREOTYPE) 라이브 LIVEㅣ윤, 아이사, 세은, 시은, 재이, 수민 마이크인더씬",노래는 듣고 다니냐 NORAE-ing,"조회수 1,142,346회",2021. 9. 7.
84,[K-Choreo 8k] 스테이씨 직캠 '힘 내! (Way to go)' (원곡:소녀시대) (STAYC Choreography) l @MusicBank 210108,KBS Kpop,"조회수 697,708회",2021. 1. 8.
85,색안경 (STEREOTYPE) - STAYC (스테이씨) [뮤직뱅크/Music Bank] | KBS 210924 방송,KBS Kpop,"조회수 294,763회",2021. 9. 24.
86,STAYC(스테이씨) '색안경 (STEREOTYPE)' Live Clip,STAYC,"조회수 450,844회",2021. 9. 14.
87,[TJ노래방] 색안경(STEREOTYPE) - STAYC(스테이씨) / TJ Karaoke,TJ KARAOKE TJ 노래방 공식 유튜브채널,"조회수 512,370회",2021. 9. 9.
88,STAYC가 부르는 STAY,크크동,"조회수 373,120회",2021. 9. 26.
89,"STAYC, LIKE THIS (스테이씨, LIKE THIS) [THE SHOW 201117]",The K-POP,"조회수 237,997회",2020. 11. 17.
90,[4D Lable] 스테이씨(STACY) - ASAP(에이셉) / Dance Cover / Jihyun_4D Lable Instructor,4D Lable _ kidsindance.4ddance,"조회수 1,448회",2021. 5. 5.
91,[K-Choreo 6k] 스테이씨 'ASAP' (STAYC Choreography) l @MusicBank 210409,KBS Kpop,"조회수 720,152회",2021. 4. 9.
92,"[쇼! 음악중심] 스테이씨 - I'll BE THERE (STAYC - I'll BE THERE), MBC 211002 방송",MBCkpop,"조회수 54,671회",2021. 10. 2.
93,※배고픔주의※ 먹고 또 먹고... 촌캉스에서 즐기는 STAYC만을 위한 풀코스(?) 파티🍖 | 스테이케이션 EP.2 | STAYCATION | STAYC(스테이씨),1theK Originals - 원더케이 오리지널,"조회수 779,963회",2021. 4. 29.
94,[4K] STAYC (스테이씨) 색안경 (STEREOTYPE) 교차편집 (Stage Mix),SoulYeon솔연,"조회수 662,018회",2021. 9. 27.
95,🌕추석특집🌕 슽자매들 | 스테이씨 진짜 다 예쁘고 잘하는 것 같아 그치?,STAYC,"조회수 144,945회",2021. 9. 21.
96,STAYC(스테이씨) [STEREOTYPE] Preview #3 Choreography,STAYC,"조회수 1,102,770회",2021. 9. 2.
97,STAYC - Friends [유희열의 스케치북/You Heeyeol’s Sketchbook] | KBS 210910 방송,KBS Kpop,"조회수 254,277회",2021. 9. 11.
98,STEREOTYPE Practice VLOG #1,STAYC,"조회수 320,916회",2021. 9. 28.
99,[주간아 미방] 스테이씨(STAYC)의 '색안경(STEREOTYPE)'♬ l EP.528,ALL THE K-POP,"조회수 774,020회",2021. 9. 8.
100,[4K] 스테이씨(STAYC) - “I’ll be there” Band LIVE Concert │ 짱테이씨의 수록곡 밴드라이브💖 [it’s KPOP LIVE 잇츠라이브],it's Live,"조회수 334,967회",최초 공개: 2021. 9. 10.
101,STAYC(스테이씨) - SO WHAT @인기가요 inkigayo 20210509,스브스케이팝 / SBS KPOP,"조회수 70,463회",2021. 5. 9.
102,STAYC - STEREOTYPE (스테이씨 - 색안경) | Show Champion | EP.410,ALL THE K-POP,"조회수 172,347회",2021. 9. 22.
103,SLOW DOWN (SLOW DOWN),STAYC,"조회수 1,171,824회",2021. 9. 6.
104,"STAYC 스테이씨 "" SLOW DOWN "" Lyrics (ColorCoded/ENG/HAN/ROM/가사)",Puno Autopop,"조회수 90,416회",2021. 9. 6.
105,STAYC(스테이씨) - ASAP @인기가요 inkigayo 20210411,스브스케이팝 / SBS KPOP,"조회수 750,780회",2021. 4. 11.
106,[1hour loop] STAYC - SO BAD (스테이씨 소배드 1시간 반복),녹,"조회수 13,637회",2021. 3. 13.
107,[#채키타카] 짱테이씨의 단톡방은 나노단위로 💥케미폭발💥| 채키타카 ep.3 | CHEKITAKA | STAYC(스테이씨),Studio FLO 스튜디오 플로,"조회수 383,876회",2021. 9. 29.
108,[덕질캡처용♥CLEAN] 스테이씨 - 색안경 (STAYC - STEREOTYPE)┃#쇼챔피언┃EP.410,ALL THE K-POP,"조회수 30,122회",2021. 10. 1.
109,[STAYC]스테이씨 so what 1시간,희진은 너무 귀엽 츄CHU,"조회수 16,696회",2021. 9. 3.
110,스테이씨 (stacy) - 에이쌥 ASAP 꾹꾹이춤 #shorts,형욱스 daily,조회수 214회,2021. 8. 22.
111,[STAY:SEE👀] #23 '색안경 (STEREOTYPE)' Recording Behind,STAYC,"조회수 556,730회",2021. 10. 1.
112,STAYC(스테이씨) - ASAP+색안경 [2021 KBS 가요대축제] | KBS 211217 방송,KBS Kpop,"조회수 143,782회",2021. 12. 17.
113,STAYC(스테이씨) SO BAD (Unplugged Ver.) Stage Cut │ 짱테이씨의 쏘밷 언플러그드 버전 무대 다시보기! [it's KPOP LIVE 잇츠라이브],it's Live,"조회수 906,233회",2021. 1. 27.
114,스테이씨-그널💘 | Sumin & J,STAYC,"조회수 86,544회",2021. 2. 5.
115,[COVER] 스테이씨(STACY) – ASAP,나원,조회수 511회,2021. 4. 17.
116,스테이씨 '색안경' 뮤비를 보는 남녀 댄서의 반응 차이 | STAYC 'STEREOTYPE'' MV REACTION,ARTBEAT,"조회수 136,777회",2021. 9. 7.
117,[스테이씨 STACY] 재이의 사다리,스윗한 스윗,조회수 17회,2021. 10. 18.
118,[스테이씨] 스테이씨 뱅뱅 고음,스테이숨,"조회수 1,038,624회",2021. 4. 20.
119,STAYC(스테이씨 ステイシー) - ASAP + STEREOTYPE (색안경) (2021 KBS Song Festival) I KBS WORLD TV 211217,KBS WORLD TV,"조회수 785,802회",2021. 12. 17.
120,STAYC (스테이씨) - SO BAD「Audio」,LQ KPOP,"조회수 39,054회",2020. 11. 12.
121,스테이씨 STACY - 색안경 STEREOTYPE Cover by LECHAT,lechat 르샤,"조회수 2,380회",2021. 10. 12.
122,[K-Choreo 8K] 스테이씨 직캠 'ASAP + 색안경(STEREOTYPE)' (STAYC Choreography) l @가요대축제 211217,KBS Kpop,"조회수 94,630회",2021. 12. 18.
123,[스테이씨◡̈] 윤세은 귀여워 🥴 #STACY #스테이씨 #세은,빛센니,"조회수 2,011회",2021. 3. 1.
124,"STAYC, SO BAD (스테이씨, SO BAD) [THE SHOW 201124]",The K-POP,"조회수 387,681회",2020. 11. 24.
125,STACY(스테이씨) - 색안경(STEREOTYPE) / Line Distribution + Lyrics (파트분배 + 가사),G_MUSIC,조회수 131회,2021. 9. 11.
126,STACY(스테이씨) - ‘색안경(STEREOTYPE)’ cover by adorable | 마산무학여자중학교 댄스부 | kpop dance cover,Adorable어도러블,"조회수 2,451회",2021. 11. 6.
127,[4K]❤️비주얼+퍼포먼스+보컬 모두 갓벽하다는❤️STAYC(스테이씨)-ASAPㅣ세로라이브ㅣSERO LIVEㅣ딩고뮤직ㅣDingo Music,딩고 뮤직 / dingo music,"조회수 1,067,095회",2021. 4. 13.
128,STAYC(스테이씨) 'SO BAD' Dance Practice,STAYC,"조회수 2,170,499회",2020. 11. 14.
129,[랜덤플레이댄스FULL] 짱테이씨가 짱.테.이.씨 했다♥ 잘해도 너무 잘해 우린 스테이씬걸♡ l 스테이씨(STAYC) l RandomPlayDance,ALL THE K-POP,"조회수 433,548회",2021. 9. 9.
130,[MIRRORED] 4K STAYC (스테이씨) - 'ASAP (에이셉)' Dance Practice (안무연습 거울모드),DeAnime Kpop,"조회수 1,366,083회",2021. 4. 11.
131,두 장은 아쉬워서 한 장만 더 사보는 스테이씨(STACY) ASAP 앨범깡로그,얌얌굿 YUMYUMGOOD,조회수 356회,2021. 5. 12.
132,[스테이씨STACY] 백신맞은 언니즈 01,스윗인데 문제있나?,조회수 10회,2021. 12. 20.
133,[스테이씨◡̈] 너 시은 언니 싫어하지? #STACY #스테이씨 #윤 #시은,빛센니,"조회수 1,323회",2021. 3. 5.
134,집에서 부르는 스테이씨(STACY)-색안경(STEREOTYPE) 커버(cover) 라이브 #shorts,팔지,조회수 228회,2021. 9. 17.
135,[Show Champion] [HOT DEBUT] 스테이씨 - SO BAD (STAYC - SO BAD) l EP.379,ALL THE K-POP,"조회수 300,016회",2020. 11. 18.
136,STAYC(스테이씨) - SO BAD @인기가요 inkigayo 20201122,스브스케이팝 / SBS KPOP,"조회수 897,080회",2020. 11. 22.
137,좋은 노래 + 좋은 노래=💖 STAYC 'ASAP+색안경' (STEREOTYPE) [유희열의 스케치북/You Heeyeol’s Sketchbook] | KBS 210910 방송,KBS Kpop,"조회수 680,746회",2021. 9. 11.
138,스테이씨(STACY) - ASAP #shorts #stayc #dancecover,유메츄리,"조회수 1,158회",2021. 5. 30.
139,"STAYC, STEREOTYPE (스테이씨, 색안경) [THE SHOW 210914]",The K-POP,"조회수 581,632회",2021. 9. 14.
140,[STAYC] IU 만났을 때 울은 스테이씨 시은|SIEUN cried when she met IU| 蒔恩見到IU哭了,아이사탕~ SWITH CANDY,"조회수 76,638회",2021. 12. 22.
141,스테이씨 (STAYC) 대박신인이 나타났다! 대형소속사를 이길 초특급 걸그룹이라고? (Eng CC) (हिन्दी CC),Doyouram - Everyday K-Culture,"조회수 118,503회",2020. 11. 23.
142,스테이씨 색안경 교차편집 : STACY,LV,조회수 70회,2021. 9. 28.
143,STACY(스테이씨) 시은 - 연핑크 염색 (댓글로 신청받아요 ʕ”̮ॽुෆ⃛ ),사각 사각,"조회수 2,299회",2021. 5. 26.
144,LOVE FOOL (사랑은 원래 이렇게 아픈 건가요),STAYC,"조회수 1,378,860회",2021. 4. 8.
145,STAYC (스테이씨) - 'LOVE FOOL' (사랑은 원래 이렇게 아픈 건가요) Lyrics [Color Coded_Han_Rom_Eng],Zaty Farhani,"조회수 169,365회",2021. 4. 8.
146,색안경 | STEREOTYPE | ￼￼￼스테이씨 | STACY | 교차편집,라욤{꒰◍ˊ◡ˋ꒱},조회수 52회,2021. 10. 27.
147,데뷔부터 완성형이었던 ✨STAYC✨ 색안경👓끼고 봐도 아름다운🎆 무대 모아보기❤ (Stage Compilation) | #소장각 | 뮤직뱅크 [KBS 방송],KBS StarTV: 인물사전,"조회수 101,332회",최초 공개: 2021. 9. 10.
148,[스테이씨STACY 시은] 내 생각으로 씬니 좋은노래,스윗인데 문제있나?,조회수 18회,2021. 12. 20.
149,세경씨.. 아니 스테이씨 그렇게 안 봤는데 정말 재밌는 사람이네👀 찐케미로 유잼 포인트도 꾹꾹 눌러버림~! [빅픽쳐] 스테이씨 STAYC | ENG SUB,오락실 팡 Arcade Pang,"조회수 195,523회",최초 공개: 2021. 9. 11.
150,[스테이씨 시은] ASAP 내 반쪽 아니 완전 copy,[SWITH]스테이씨팬튜브,"조회수 1,945회",2021. 7. 11.
151,STAYC(스테이씨) 색안경(STEREOTYPE) Stage 🍊💋 | 1st Mini Album ‘STEREOTYPE' Media Showcase (미디어 쇼케이스),Vstar,"조회수 303,636회",2021. 9. 6.
152,[제페토/Zepeto] 색안경챌린지 Stereotype - 스테이씨 Stacy,ZPT 설아,"조회수 1,477회",2021. 9. 26.
153,STAYC(스테이씨) '사랑은 원래 이렇게 아픈 건가요' Live Clip,STAYC,"조회수 318,271회",2021. 5. 18.
154,[4K] BLACKPINK & EXO & TWICE 아이돌 계보를 이을 STAYC의 추억여행 | 스테이씨 | Dance Cover | 우리가 사랑한 노래 | Our Beloved,1theK Originals - 원더케이 오리지널,"조회수 2,752,707회",2020. 11. 4.
155,[타이포 그래피] STACY(스테이씨) - ASAP,Neyrin[네이린],조회수 253회,2021. 9. 1.
156,[Full Album] STAYC (스테이씨) - STAYDOM,LQ KPOP,"조회수 100,828회",2021. 4. 8.
157,STAYC(스테이씨) '색안경 (STEREOTYPE)' MV Teaser,STAYC,"조회수 1,619,075회",2021. 9. 5.
158,STACY(스테이씨) 색안경 (STEREOTYPE) (교차편집 Stage Mix),교차편집,조회수 182회,2021. 10. 18.
159,[2021 가요대전 4K] 스테이씨 '색안경+ASAP' 풀캠 (STAYC 'STEREOTYPE+ASAP' Full Cam)│@SBS Gayo Daejeon_2021.12.25.,스브스케이팝 / SBS KPOP,"조회수 243,815회",2021. 12. 25.
160,색안경 스테이씨 STACY Dance Cover 이로초,yuliana kim,조회수 119회,2021. 11. 30.
161,STAYC(스테이씨) '색안경 (STEREOTYPE)' MV REACTION,GZBKarma,"조회수 83,823회",2021. 9. 6.
162,🎶너를 기↗다리고 있을게🤣 | 가을운동회🍂 EP.1,STAYC,"조회수 196,439회",2021. 10. 15.
163,색안경 (STEREOTYPE) - STAYC (스테이씨) [뮤직뱅크/Music Bank] | KBS 211001 방송,KBS Kpop,"조회수 411,267회",2021. 10. 1.
164,[스테이씨] 윤(심자윤) 입덕영상 ~ [STAYC] YOON ~ Joining a Fandom!!!,등더리 테레비,"조회수 95,340회",2020. 12. 9.
165,"STAYC, SO BAD (스테이씨, SO BAD) [THE SHOW 201117]",The K-POP,"조회수 452,786회",2020. 11. 17.
166,[4D Lable] 일요 3시 베이직반 / Stacy (스테이씨) - Asap /수업스케치,4D Lable _ kidsindance.4ddance,"조회수 1,688회",2021. 7. 9.
167,[K-Choreo 8k] 스테이씨 직캠 '색안경 (STEREOTYPE)' (STAYC Choreography) l @MusicBank 210910,KBS Kpop,"조회수 336,075회",2021. 9. 10.
168,ASAP - STACY (Dance Cover) 에이셉 - 스테이씨,Gam Jatang,조회수 234회,2021. 7. 9.
169,Stacy(스테이씨)-ASAP (Audio spectrum),Soft Cloud,조회수 9회,2021. 6. 28.
170,[4K] 역대급 컨셉으로 재현한 STAYC의 본능을 깨우는 파워풀 퍼포먼스 | 16 Shots | Camila | 스테이씨 | Choreography | STAGE BREAK,1theK Originals - 원더케이 오리지널,"조회수 1,746,210회",2021. 4. 19.
171,친구들이랑~ 스테이씨(stacy)에이셉,또또미TV,조회수 14회,2021. 12. 22.
172,09년생이 추는 STAYC [스테이씨] - STEREOTYPE [색안경]#shorts Cover by 사랑(Sa_Rang)｜클레버TV,Clevr TV [클레버티비],"조회수 316,755회",2021. 9. 12.
173,STACY(스테이씨) - ASAP ｜PIANO COVER,GMPSound_밍구,조회수 143회,2021. 6. 26.
174,ASAP - STAYC(스테이씨) [뮤직뱅크/Music Bank] | KBS 210416 방송,KBS Kpop,"조회수 1,669,288회",2021. 4. 16.
175,STAYC(스테이씨) - SO BAD @인기가요 inkigayo 20201115,스브스케이팝 / SBS KPOP,"조회수 1,311,915회",2020. 11. 15.
176,[MR Removed | 엠알 제거] STAYC(스테이씨) _ STEREOTYPE(스테레오타입) @ 210910 KBS Music Bank,태형시,"조회수 48,491회",2021. 9. 10.
